x,y,x_real,y_real,z_real,OptNum,OptGrp
-56.184,-323.919,NaN,NaN,NaN,D26,neckB
-56.184,-341.919,NaN,NaN,NaN,S28,neckB
-56.184,-359.919,NaN,NaN,NaN,S26,neckB
-47.184,-305.919,NaN,NaN,NaN,A04,n/a
-38.184,-25.456,NaN,NaN,NaN,S02,head
-38.184,-50.912,NaN,NaN,NaN,S04,head
-38.184,-76.368,NaN,NaN,NaN,S06,head
-38.184,-101.823,NaN,NaN,NaN,S17,head
-38.184,-323.919,NaN,NaN,NaN,D25,neckB
-38.184,-341.919,NaN,NaN,NaN,S27,neckB
-38.184,-359.919,NaN,NaN,NaN,S25,neckB
-25.456,-12.728,NaN,NaN,NaN,D02,head
-25.456,-38.184,NaN,NaN,NaN,D04,head
-25.456,-63.640,NaN,NaN,NaN,D06,head
-25.456,-89.095,NaN,NaN,NaN,D07,head
-25.456,-114.551,NaN,NaN,NaN,D08,head
-12.728,0.000,NaN,NaN,NaN,S01,head
-12.728,-25.456,NaN,NaN,NaN,S03,head
-12.728,-50.912,NaN,NaN,NaN,S05,head
-12.728,-76.368,NaN,NaN,NaN,S07,head
-12.728,-101.823,NaN,NaN,NaN,S08,head
-12.728,-127.279,NaN,NaN,NaN,S19,head
0.000,38.184,NaN,NaN,NaN,A01,n/a
0.000,12.728,NaN,NaN,NaN,D01,head
0.000,-12.728,NaN,NaN,NaN,D03,head
0.000,-38.184,NaN,NaN,NaN,D05,head
0.000,-63.640,NaN,NaN,NaN,D11,head
0.000,-89.095,NaN,NaN,NaN,D13,head
0.000,-114.551,NaN,NaN,NaN,D15,head
0.000,-140.007,NaN,NaN,NaN,D17,head
0.000,-165.463,NaN,NaN,NaN,A02,n/a
12.728,0.000,NaN,NaN,NaN,S09,head
12.728,-25.456,NaN,NaN,NaN,S10,head
12.728,-50.912,NaN,NaN,NaN,S12,head
12.728,-76.368,NaN,NaN,NaN,S14,head
12.728,-101.823,NaN,NaN,NaN,S16,head
12.728,-127.279,NaN,NaN,NaN,S20,head
25.456,-12.728,NaN,NaN,NaN,D09,head
25.456,-38.184,NaN,NaN,NaN,D10,head
25.456,-63.640,NaN,NaN,NaN,D12,head
25.456,-89.095,NaN,NaN,NaN,D14,head
25.456,-114.551,NaN,NaN,NaN,D16,head
38.184,-25.456,NaN,NaN,NaN,S11,head
38.184,-50.912,NaN,NaN,NaN,S13,head
38.184,-76.368,NaN,NaN,NaN,S15,head
38.184,-101.823,NaN,NaN,NaN,S18,head
38.184,-208.919,NaN,NaN,NaN,S24,neckA
38.184,-226.919,NaN,NaN,NaN,D21,neckA
38.184,-244.919,NaN,NaN,NaN,D19,neckA
38.184,-262.919,NaN,NaN,NaN,S22,neckA
38.184,-323.919,NaN,NaN,NaN,D28,neckC
38.184,-341.919,NaN,NaN,NaN,S32,neckC
38.184,-359.919,NaN,NaN,NaN,S30,neckC
56.184,-208.919,NaN,NaN,NaN,S23,neckA
56.184,-226.919,NaN,NaN,NaN,D20,neckA
56.184,-244.919,NaN,NaN,NaN,D18,neckA
56.184,-262.919,NaN,NaN,NaN,S21,neckA
56.184,-323.919,NaN,NaN,NaN,D27,neckC
56.184,-341.919,NaN,NaN,NaN,S31,neckC
56.184,-359.919,NaN,NaN,NaN,S29,neckC
74.184,-235.919,NaN,NaN,NaN,A03,n/a
-12.728,8.000,NaN,NaN,NaN,D29,head
-38.184,-17.456,NaN,NaN,NaN,D30,head
-12.728,-17.456,NaN,NaN,NaN,D31,head
-38.184,-42.912,NaN,NaN,NaN,D32,head
-12.728,-42.912,NaN,NaN,NaN,D33,head
-38.184,-68.368,NaN,NaN,NaN,D34,head
-12.728,-68.368,NaN,NaN,NaN,D35,head
-12.728,-93.823,NaN,NaN,NaN,D36,head
12.728,8.000,NaN,NaN,NaN,D37,head
12.728,-17.456,NaN,NaN,NaN,D38,head
38.184,-17.456,NaN,NaN,NaN,D39,head
12.728,-42.912,NaN,NaN,NaN,D40,head
38.184,-42.912,NaN,NaN,NaN,D41,head
12.728,-68.368,NaN,NaN,NaN,D42,head
38.184,-68.368,NaN,NaN,NaN,D43,head
12.728,-93.823,NaN,NaN,NaN,D44,head
-38.184,-93.823,NaN,NaN,NaN,D45,head
38.184,-93.823,NaN,NaN,NaN,D46,head
-12.728,-119.279,NaN,NaN,NaN,D47,head
12.728,-119.279,NaN,NaN,NaN,D48,head
56.184,-254.919,NaN,NaN,NaN,D49,neckA
38.184,-254.919,NaN,NaN,NaN,D50,neckA
56.184,-200.919,NaN,NaN,NaN,D51,neckA
38.184,-200.919,NaN,NaN,NaN,D52,neckA